"REF_DATE","GEO","DGUID","Airports","Type of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Air carrier movements, level IV-VI","Number","223","units","0","v1376027891","1.63.2","6","","","","0"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Other commercial movements","Number","223","units","0","v1376027892","1.63.3","74","","","","0"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Private movements","Number","223","units","0","v1376027893","1.63.4","36","","","","0"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Government civil movements","Number","223","units","0","v1376027894","1.63.5","35","","","","0"
"2022-01","Canada","2021A000011124","Charlottetown, Prince Edward Island","Government military movements","Number","223","units","0","v1376027895","1.63.6","","..","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376028370","1.4992.1","315","","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Air carrier movements, level IV-VI","Number","223","units","0","v1376028371","1.4992.2","6","","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Other commercial movements","Number","223","units","0","v1376028372","1.4992.3","210","","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Private movements","Number","223","units","0","v1376028373","1.4992.4","19","","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Government civil movements","Number","223","units","0","v1376028374","1.4992.5","","..","","","0"
"2022-01","Canada","2021A000011124","Chicoutimi/St-Honoré, Quebec","Government military movements","Number","223","units","0","v1376028375","1.4992.6","","..","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Air carrier movements, level I-III and foreign air carriers","Number","223","units","0","v1376027878","1.56.1","174","","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Air carrier movements, level IV-VI","Number","223","units","0","v1376027879","1.56.2","6","","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Other commercial movements","Number","223","units","0","v1376027880","1.56.3","","..","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Private movements","Number","223","units","0","v1376027881","1.56.4","4","","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Government civil movements","Number","223","units","0","v1376027882","1.56.5","4","","","","0"
"2022-01","Canada","2021A000011124","Churchill, Manitoba","Government military movements","Number","223","units","0","v1376027883","1.56.6","2","","","","0"
