"REF_DATE","GEO","DGUID","Airports","Class of operation","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Total, itinerant and local movements","Number","223","units","0","v1374990576","1.5011.1","5364","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Itinerant movements","Number","223","units","0","v1374990577","1.5011.2","1628","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Local movements","Number","223","units","0","v1374990578","1.5011.3","3736","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Civil local movements","Number","223","units","0","v1374990579","1.5011.4","3736","","","","0"
"2019-01","Canada","2021A000011124","Edmonton/Villeneuve, Alberta","Military local movements","Number","223","units","0","v1374990580","1.5011.5","","..","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Total, itinerant and local movements","Number","223","units","0","v1331261905","1.43.1","2312","","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Itinerant movements","Number","223","units","0","v1331261906","1.43.2","2158","","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Local movements","Number","223","units","0","v1331261907","1.43.3","154","","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Civil local movements","Number","223","units","0","v1331261908","1.43.4","150","","","","0"
"2019-01","Canada","2021A000011124","Fort McMurray, Alberta","Military local movements","Number","223","units","0","v1331261909","1.43.5","4","","","","0"
"2019-01","Canada","2021A000011124","Fort Nelson, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331261910","1.45.1","450","","","","0"
"2019-01","Canada","2021A000011124","Fort Nelson, British Columbia","Itinerant movements","Number","223","units","0","v1331261911","1.45.2","290","","","","0"
"2019-01","Canada","2021A000011124","Fort Nelson, British Columbia","Local movements","Number","223","units","0","v1331261912","1.45.3","160","","","","0"
"2019-01","Canada","2021A000011124","Fort Nelson, British Columbia","Civil local movements","Number","223","units","0","v1331261913","1.45.4","160","","","","0"
"2019-01","Canada","2021A000011124","Fort Nelson, British Columbia","Military local movements","Number","223","units","0","v1331261914","1.45.5","","..","","","0"
"2019-01","Canada","2021A000011124","Fort St. John, British Columbia","Total, itinerant and local movements","Number","223","units","0","v1331261885","1.36.1","1268","","","","0"
"2019-01","Canada","2021A000011124","Fort St. John, British Columbia","Itinerant movements","Number","223","units","0","v1331261886","1.36.2","1218","","","","0"
"2019-01","Canada","2021A000011124","Fort St. John, British Columbia","Local movements","Number","223","units","0","v1331261887","1.36.3","50","","","","0"
